DATE,RRPONTSYD
2003-03-01,1.25000000000000000000
2003-04-01,2.2500000000000000
2003-05-01,.
2003-06-01,2.0625000000000000
2003-07-01,.
2003-08-01,.
2003-09-01,.
2003-10-01,.
2003-11-01,3.3750000000000000
2003-12-01,1.75000000000000000000
2004-01-01,2.3750000000000000
2004-02-01,.
2004-03-01,.
2004-04-01,.
2004-05-01,.
2004-06-01,.
2004-07-01,.
2004-08-01,.
2004-09-01,.
2004-10-01,.
2004-11-01,.
2004-12-01,.
2005-01-01,.
2005-02-01,.
2005-03-01,.
2005-04-01,.
2005-05-01,.
2005-06-01,.
2005-07-01,.
2005-08-01,.
2005-09-01,.
2005-10-01,.
2005-11-01,.
2005-12-01,.
2006-01-01,.
2006-02-01,.
2006-03-01,.
2006-04-01,.
2006-05-01,.
2006-06-01,.
2006-07-01,.
2006-08-01,.
2006-09-01,.
2006-10-01,.
2006-11-01,.
2006-12-01,.
2007-01-01,.
2007-02-01,.
2007-03-01,.
2007-04-01,5.8750000000000000
2007-05-01,3.6250000000000000
2007-06-01,.
2007-07-01,.
2007-08-01,.
2007-09-01,.
2007-10-01,.
2007-11-01,.
2007-12-01,.
2008-01-01,.
2008-02-01,.
2008-03-01,6.0833333333333333
2008-04-01,3.7500000000000000
2008-05-01,.
2008-06-01,.
2008-07-01,.
2008-08-01,.
2008-09-01,24.3333333333333333
2008-10-01,24.7222222222222222
2008-11-01,24.1666666666666667
2008-12-01,25.0000000000000000
2009-01-01,.
2009-02-01,.
2009-03-01,.
2009-04-01,.
2009-05-01,.
2009-06-01,.
2009-07-01,.
2009-08-01,.
2009-09-01,.
2009-10-01,.
2009-11-01,.
2009-12-01,0.21000000000000000000
2010-01-01,.
2010-02-01,.
2010-03-01,.
2010-04-01,.
2010-05-01,.
2010-06-01,.
2010-07-01,.
2010-08-01,0.18000000000000000000
2010-09-01,.
2010-10-01,.
2010-11-01,.
2010-12-01,.
2011-01-01,.
2011-02-01,.
2011-03-01,0.54000000000000000000
2011-04-01,.
2011-05-01,.
2011-06-01,0.51450000000000000000
2011-07-01,.
2011-08-01,0.32200000000000000000
2011-09-01,.
2011-10-01,.
2011-11-01,.
2011-12-01,.
2012-01-01,.
2012-02-01,.
2012-03-01,0.54500000000000000000
2012-04-01,.
2012-05-01,.
2012-06-01,.
2012-07-01,.
2012-08-01,.
2012-09-01,0.06000000000000000000
2012-10-01,.
2012-11-01,1.18000000000000000000
2012-12-01,.
2013-01-01,.
2013-02-01,.
2013-03-01,.
2013-04-01,0.65500000000000000000
2013-05-01,.
2013-06-01,.
2013-07-01,.
2013-08-01,3.1580000000000000
2013-09-01,19.1576666666666667
2013-10-01,4.0528181818181818
2013-11-01,4.6302631578947368
2013-12-01,34.7165714285714286
2014-01-01,72.9980000000000000
2014-02-01,98.9961052631578947
2014-03-01,86.2252857142857143
2014-04-01,120.2782500000000000
2014-05-01,190.8998571428571429
2014-06-01,116.8328571428571429
2014-07-01,121.2910909090909091
2014-08-01,136.7754761904761905
2014-09-01,169.4903809523809524
2014-10-01,150.2338181818181818
2014-11-01,132.1347777777777778
2014-12-01,87.9636363636363636
2015-01-01,133.9759500000000000
2015-02-01,132.2585789473684211
2015-03-01,96.1690909090909091
2015-04-01,94.4545000000000000
2015-05-01,107.2911000000000000
2015-06-01,110.2865909090909091
2015-07-01,116.0587727272727273
2015-08-01,83.3487619047619048
2015-09-01,94.1351904761904762
2015-10-01,135.8143333333333333
2015-11-01,99.8726315789473684
2015-12-01,141.1340454545454545
2016-01-01,101.4924736842105263
2016-02-01,55.4868000000000000
2016-03-01,68.3641428571428571
2016-04-01,34.4762857142857143
2016-05-01,44.8320476190476190
2016-06-01,77.4274090909090909
2016-07-01,69.8292500000000000
2016-08-01,82.5809130434782609
2016-09-01,148.2324761904761905
2016-10-01,191.7420500000000000
2016-11-01,131.3139000000000000
2016-12-01,242.7518571428571429
2017-01-01,156.5794000000000000
2017-02-01,131.1134210526315789
2017-03-01,223.1137391304347826
2017-04-01,134.1759444444444444
2017-05-01,175.1978636363636364
2017-06-01,190.6433181818181818
2017-07-01,153.5896500000000000
2017-08-01,116.7322173913043478
2017-09-01,153.6856500000000000
2017-10-01,121.5916190476190476
2017-11-01,51.8269523809523810
2017-12-01,115.6892000000000000
2018-01-01,47.1160476190476190
2018-02-01,35.5988421052631579
2018-03-01,9.9832000000000000
2018-04-01,6.4958095238095238
2018-05-01,4.7260000000000000
2018-06-01,11.0906666666666667
2018-07-01,4.4935714285714286
2018-08-01,1.6290000000000000
2018-09-01,8.3726842105263158
2018-10-01,2.8889545454545455
2018-11-01,5.1022000000000000
2018-12-01,5.6796666666666667
2019-01-01,5.0130000000000000
2019-02-01,2.4343684210526316
2019-03-01,1.1823333333333333
2019-04-01,1.1724500000000000
2019-05-01,2.1527727272727273
2019-06-01,9.7754000000000000
2019-07-01,7.5111818181818182
2019-08-01,6.5481363636363636
2019-09-01,4.1032000000000000
2019-10-01,5.2499545454545455
2019-11-01,6.5697368421052632
2019-12-01,6.0330952380952381
2020-01-01,4.0140952380952381
2020-02-01,2.0447368421052632
2020-03-01,50.4835000000000000
2020-04-01,46.5622500000000000
2020-05-01,2.0984500000000000
2020-06-01,0.41336363636363636364
2020-07-01,0.02242857142857142857
2020-08-01,0.02833333333333333333
2020-09-01,0.10961904761904761905
2020-10-01,0.01238095238095238095
2020-11-01,0.13200000000000000000
2020-12-01,0.60686363636363636364
2021-01-01,0.96631578947368421053
2021-02-01,1.2416315789473684
2021-03-01,18.7990000000000000
2021-04-01,72.4681000000000000
2021-05-01,275.4834000000000000
2021-06-01,642.0993636363636364
2021-07-01,848.3666666666666667
2021-08-01,1052.7351363636363636
2021-09-01,1210.8881904761904762
2021-10-01,1425.7612000000000000
2021-11-01,1444.8995500000000000
2021-12-01,1599.8963181818181818
2022-01-01,1589.3896000000000000
2022-02-01,1647.3950000000000000
2022-03-01,1638.1373043478260870
2022-04-01,1772.5691500000000000
2022-05-01,1912.0825714285714286
2022-06-01,2162.2127619047619048
2022-07-01,2193.5680500000000000
2022-08-01,2199.0703478260869565
2022-09-01,2257.8042857142857143
2022-10-01,2224.4508500000000000
2022-11-01,2146.8294000000000000
